id,type,difficulty,question,reference_answer
29,General,Advanced,What would you do if you disagreed with your manager?,"I would respectfully explain my viewpoint and provide reasons or evidence. I would listen to my manager's perspective and follow the final decision while maintaining a professional attitude."
30,HR,Advanced,How do you handle criticism from your manager?,"I listen to criticism professionally and try to understand the reason behind it. I use constructive feedback to identify my weaknesses and improve my performance."
31,HR,Advanced,Describe a situation where you demonstrated leadership.,"During a project, I helped organize the team's tasks, communicated responsibilities, supported team members, and made sure that the work was completed on time."
32,HR,Advanced,How would you handle a disagreement with a teammate?,"I would discuss the disagreement calmly with my teammate, listen to their point of view, explain my perspective, and try to reach a solution based on the project's requirements rather than personal opinions."
33,HR,Advanced,Where do you see yourself in five years?,"In five years, I see myself as a skilled professional with strong technical and communication abilities, taking on greater responsibilities and contributing meaningfully to my organization."
34,HR,Advanced,Why should we choose you over other candidates?,"You should choose me because I am willing to learn, adaptable, hardworking, and committed to improving my skills. I can work well with others and will make a sincere effort to contribute to the organization."
35,Technical,Beginner,What is the difference between HTML and CSS?,"HTML is used to structure the content of a web page, while CSS is used to control its presentation and styling, such as colors, fonts, spacing, and layout."
36,Technical,Beginner,What is an API?,"API stands for Application Programming Interface. It allows different software applications or systems to communicate and exchange data or services."
37,Technical,Beginner,What is a database table?,"A database table is a structured collection of related data organized into rows and columns. Each row usually represents a record and each column represents an attribute."
38,Technical,Intermediate,What is the purpose of the train-test split in machine learning?,"The train-test split divides a dataset into training and testing portions. The model learns from the training data and is evaluated on the unseen testing data to estimate how well it generalizes."
39,Technical,Intermediate,What is normalization in a database?,"Normalization is the process of organizing data in a database to reduce data redundancy and improve data consistency. It involves dividing data into related tables and defining relationships between them."
40,General,Beginner,What is your favorite subject and why?,"My favorite subject is computer science because I enjoy learning how technology works, solving problems through programming, and creating practical projects."
41,General,Beginner,How do you usually learn something new?,"I usually learn something new by understanding the basic concepts first, studying examples, practicing through small tasks or projects, and reviewing my mistakes."
42,General,Intermediate,How do you handle a difficult task?,"I break the difficult task into smaller steps, understand the requirements, prioritize the important parts, and work on each step systematically. I ask for guidance when necessary."
43,General,Intermediate,How do you stay motivated when work becomes challenging?,"I stay motivated by focusing on my goal, breaking the work into smaller achievable tasks, tracking my progress, and reminding myself that challenges help me improve."
44,General,Advanced,How would you respond if your plans suddenly changed?,"I would stay calm, understand the reason for the change, evaluate the new requirements, and adjust my plan and priorities accordingly."
45,Technical,Intermediate,What is the difference between a compiler and an interpreter?,"A compiler translates the entire program into machine code before execution, while an interpreter generally translates and executes the program step by step."
